commodity,forecast_month,target_month,horizon,anchor,median,q10,q25,q75,q90,actual,err_pct,abs_err_pct,pinball_pct,in80,in50,pit,naive_abs_err_pct,naive_pinball_pct,dnaive_abs_err_pct,dnaive_pinball_pct,snaive_abs_err_pct,snaive_pinball_pct
aluminum,2019-07,2019-08,1,1776.5,1772.1072,1681.1194,1723.6222,1821.9562,1868.0196,1712.5,3.481,3.481,0.7736,True,False,0.2027,3.737,0.8157,2.461,0.6378,6.304,1.4319
aluminum,2019-07,2019-09,2,1776.5,1767.7253,1639.6975,1699.1445,1839.0742,1905.7496,1703.5,3.77,3.77,0.8909,True,True,0.2641,4.285,0.9446,1.735,0.7733,1.781,0.7767
aluminum,2019-07,2019-10,3,1776.5,1763.3543,1607.2055,1679.3691,1851.5395,1934.6737,1742.5,1.197,1.197,0.8625,True,True,0.4347,1.951,0.7657,1.765,0.9158,3.737,1.038
aluminum,2019-07,2019-11,4,1776.5,1758.994,1579.431,1662.0814,1861.5574,1958.9713,1785.5,-1.485,1.485,1.0089,True,True,0.5706,0.504,0.7627,5.311,1.285,6.587,1.4944
aluminum,2019-07,2019-12,5,1776.5,1754.6445,1554.7422,1646.4245,1869.9779,1980.2495,1800.0,-2.52,2.52,1.1939,True,True,0.6066,1.306,0.907,7.229,1.6516,10.476,2.3537
aluminum,2019-07,2020-01,6,1776.5,1750.3058,1532.2956,1631.956,1877.2384,1999.3338,1709.5,2.387,2.387,1.2742,True,True,0.4101,3.919,1.1596,3.519,1.3226,5.182,1.4183
aluminum,2019-08,2019-09,1,1712.5,1706.5258,1617.9954,1659.3441,1755.0491,1799.9002,1703.5,0.178,0.178,0.4614,True,True,0.483,0.528,0.4037,1.213,0.5508,4.255,0.9509
aluminum,2019-08,2019-10,2,1712.5,1700.5724,1576.375,1634.0333,1769.8211,1834.555,1742.5,-2.406,2.406,0.8117,True,True,0.6597,1.722,0.6431,5.097,1.1709,9.446,2.4061
aluminum,2019-08,2019-11,3,1712.5,1694.6398,1543.5524,1613.3644,1780.0096,1860.5162,1785.5,-5.089,5.089,1.2066,True,False,0.7632,4.088,0.9725,8.987,2.0765,12.127,3.3237
aluminum,2019-08,2019-12,4,1712.5,1688.7279,1515.3783,1595.1551,1787.7898,1881.9077,1800.0,-6.182,6.182,1.4699,True,False,0.7749,4.861,1.1613,11.284,2.7342,15.785,4.918
aluminum,2019-08,2020-01,5,1712.5,1682.8367,1490.2429,1578.5593,1794.0025,1900.3205,1709.5,-1.56,1.56,1.1225,True,True,0.5658,0.175,0.8321,8.205,1.835,10.805,2.3888
aluminum,2019-08,2020-02,6,1712.5,1676.966,1467.3143,1563.1399,1799.0807,1916.573,1663.0,0.84,0.84,1.1661,True,True,0.468,2.977,1.1045,7.273,1.5967,7.701,1.6855
aluminum,2019-09,2019-10,1,1703.5,1698.788,1613.1565,1653.1677,1745.6672,1788.965,1742.5,-2.509,2.509,0.6193,True,True,0.7355,2.238,0.5265,3.583,0.8304,5.422,1.2366
aluminum,2019-09,2019-11,2,1703.5,1694.0889,1573.6877,1629.6153,1761.1134,1823.7019,1785.5,-5.12,5.12,1.2078,True,False,0.8195,4.593,1.0803,7.199,1.6765,8.221,2.015
aluminum,2019-09,2019-12,3,1703.5,1689.4029,1542.63,1610.494,1772.1781,1850.1406,1800.0,-6.144,6.144,1.4596,True,False,0.8144,5.361,1.2718,9.213,2.1638,12.042,3.3479
aluminum,2019-09,2020-01,4,1703.5,1684.7299,1516.0055,1593.7121,1780.9457,1872.2325,1709.5,-1.449,1.449,0.9871,True,True,0.5703,0.351,0.7402,5.721,1.3061,6.841,1.5459
aluminum,2019-09,2020-02,5,1703.5,1680.0698,1492.2764,1578.4617,1788.2184,1891.4956,1663.0,1.026,1.026,1.0613,True,True,0.456,2.435,0.9694,4.418,1.288,3.599,1.2393
aluminum,2019-09,2020-03,6,1703.5,1675.4225,1470.6503,1564.3268,1794.408,1908.7071,1489.0,12.52,12.52,2.4993,True,False,0.1231,14.406,3.2318,5.283,1.389,8.064,1.6664
aluminum,2019-10,2019-11,1,1742.5,1739.2952,1655.5195,1694.6881,1785.0763,1827.3102,1785.5,-2.588,2.588,0.6094,True,False,0.752,2.408,0.5642,3.302,0.7701,2.96,0.6951
aluminum,2019-10,2019-12,2,1742.5,1736.0962,1617.5887,1672.6812,1801.9154,1863.2858,1800.0,-3.55,3.55,0.8576,True,True,0.7438,3.194,0.7553,4.96,1.1578,7.0,1.608
aluminum,2019-10,2020-01,3,1742.5,1732.9031,1587.7116,1654.9055,1814.5768,1891.372,1709.5,1.369,1.369,0.832,True,True,0.4211,1.93,0.7454,0.846,0.8443,1.5,0.885
aluminum,2019-10,2020-02,4,1742.5,1729.7159,1562.0971,1639.3696,1825.0413,1915.3208,1663.0,4.012,4.012,1.1297,True,True,0.3105,4.781,1.0695,0.993,0.9662,1.927,1.0382
aluminum,2019-10,2020-03,5,1742.5,1726.5346,1539.2848,1625.3075,1834.0662,1936.5628,1489.0,15.953,15.953,3.4745,False,False,0.0492,17.025,4.4982,11.761,2.2932,14.259,2.8782
aluminum,2019-10,2020-04,6,1742.5,1723.3591,1518.5211,1612.325,1842.0396,1955.8283,1460.5,17.998,17.998,3.8947,False,False,0.0469,19.308,5.0689,12.898,2.4714,10.909,2.1114
aluminum,2019-11,2019-12,1,1785.5,1783.1088,1698.0884,1737.8444,1829.5521,1872.386,1800.0,-0.938,0.938,0.48,True,True,0.5977,0.806,0.4129,1.468,0.5701,4.163,0.9434
aluminum,2019-11,2020-01,2,1785.5,1780.7207,1660.3698,1716.3301,1847.5271,1909.7953,1709.5,4.166,4.166,0.9297,True,False,0.2274,4.446,0.9746,3.055,0.8616,1.504,0.7457
aluminum,2019-11,2020-02,3,1785.5,1778.3359,1630.7903,1699.0901,1861.2778,1939.2307,1663.0,6.935,6.935,1.4798,True,False,0.1606,7.366,1.5487,5.229,1.1497,5.036,1.1279
aluminum,2019-11,2020-03,4,1785.5,1775.9543,1605.5116,1684.1077,1872.8099,1964.4914,1489.0,19.272,19.272,5.0604,False,False,0.0126,19.913,5.7853,16.741,3.8083,17.744,4.1991
aluminum,2019-11,2020-04,5,1785.5,1773.5758,1583.056,1670.6084,1882.8896,1987.0246,1460.5,21.436,21.436,5.4487,False,False,0.0143,22.253,6.3047,18.225,3.9609,14.292,2.7589
aluminum,2019-11,2020-05,6,1785.5,1771.2006,1562.6618,1658.1934,1891.9092,2007.569,1515.0,16.911,16.911,3.6042,False,False,0.055,17.855,4.5297,13.21,2.56,7.257,1.4843
aluminum,2019-12,2020-01,1,1800.0,1798.8638,1716.0781,1754.8071,1844.0266,1885.6432,1709.5,5.227,5.227,1.1644,False,False,0.0829,5.294,1.2505,4.962,1.0674,5.913,1.2906
aluminum,2019-12,2020-02,2,1800.0,1797.7284,1680.2747,1734.9231,1862.8072,1923.3923,1663.0,8.102,8.102,1.8131,False,False,0.0698,8.238,1.9948,7.557,1.5809,9.599,2.1652
aluminum,2019-12,2020-03,3,1800.0,1796.5936,1652.2832,1719.1371,1877.5401,1953.5081,1489.0,20.658,20.658,6.0382,False,False,0.002,20.887,6.4407,19.747,5.3446,22.859,6.5582
aluminum,2019-12,2020-04,4,1800.0,1795.4596,1628.3992,1705.5029,1890.1611,1979.659,1460.5,22.935,22.935,6.4101,False,False,0.0034,23.245,6.9111,21.699,5.5854,19.257,4.6593
