Date,Price
20160902,59.39
20160905,59.24
20160906,59.16
20160907,58.46
20160908,58.14
20160909,57.78
20160913,56.09
20160914,55.97
20160915,55.97
20160916,55.97
20160919,55.68
20160920,55.77
20160921,55.87
20160922,56.34
20160923,56.79
20160926,56.77
20160927,56.63
20160928,56.48
20160929,56.68
20160930,55.86
20161003,55.86
20161004,55.86
20161005,55.86
20161006,55.86
20161007,55.86
20161010,56.65
20161011,57.68
20161012,57.16
20161013,56.67
20161014,57.28
20161017,58.38
20161018,58.41
20161019,58.37
20161020,58.85
20161021,58.72
20161024,59.28
20161025,61.96
20161026,63.07
20161027,63.04
20161028,63.96
20161031,64.38
20161101,65.33
20161102,65.31
20161103,65.46
20161104,65
20161107,67.43
20161108,68.3
20161109,70.98
20161110,74.12
20161111,79.81
20161114,77.77
20161115,72.68
20161116,72.42
20161117,73.55
20161118,72.79
20161121,70.34
20161122,74.9
20161123,75.87
20161124,76.93
20161125,79.61
20161128,80.83
20161129,77.3
20161130,72.08
20161201,78.36
20161202,77.79
20161205,78.62
20161206,79.73
20161207,82.25
20161208,81.78
20161209,81.66
20161212,83.58
20161213,83.42
20161214,79.18
20161215,81.5
20161216,81.49
20161219,81.22
20161220,79.62
20161221,79.19
20161222,76.15
20161223,78.14
20161227,79.42
20161228,80.68
20161229,80.43
20161230,78.87
20170103,77.91
20170104,77.25
20170105,78.93
20170106,76.25
20170109,77.73
20170110,79.43
20170111,80.41
20170112,80.99
20170113,80.54
20170116,83.65
20170117,81.55
20170118,82.05
20170119,80.99
20170120,80.41
20170123,81.13
20170124,82.69
20170125,82.49
20170126,83.34
20170127,83.34
20170131,83.34
20170201,83.34
20170202,83.34
20170203,82.19
20170206,80.6
20170207,83.29
20170208,83.53
20170209,83.84
20170210,86.62
20170213,92.23
20170214,91.71
20170215,91.05
20170216,90.06
20170217,90.37
20170220,92.34
20170221,94.86
20170222,94.3
20170223,91.34
20170224,90.5
20170227,92.33
20170228,91.27
20170301,91.26
20170302,92.36
20170303,91.32
20170306,89.73
20170307,89.8
20170308,87.19
20170309,86.79
20170310,86.72
20170313,88.26
20170314,88.14
20170315,90.93
20170316,92.61
20170317,92.34
20170320,91.49
20170321,87.59
20170322,84.99
20170323,86.36
20170324,85.06
20170327,81.57
20170328,82.01
20170329,82.25
20170330,81.78
20170331,80.39
20170403,79.36
20170404,79.45
20170405,81.54
20170406,80.92
20170407,75.45
20170410,74.71
20170411,74.38
20170412,68.04
20170413,68.68
20170417,66.25
20170418,63.2
20170419,64.6
20170420,65.36
20170421,68.22
20170424,66.53
20170425,66.07
20170426,66.62
20170427,66.42
20170428,68.8
20170502,68.72
20170503,68.68
20170504,65.2
20170505,61.73
20170508,60.15
20170509,60.75
20170511,60.38
20170512,61.38
20170515,60.8
20170516,61.17
20170517,62.2
20170518,61.6
20170519,62.69
20170522,63.19
20170523,62
20170524,60.52
20170525,60.24
20170526,57.91
20170529,58.5
20170530,58.5
20170531,57.02
20170601,55.97
20170602,57.79
20170605,55.9
20170606,56.03
20170607,55.43
20170608,55.36
20170609,55.43
20170612,54.87
20170613,53.36
20170614,54.43
20170615,55.23
20170616,55.75
20170619,56.3
20170620,56.45
20170621,56.82
20170622,56.53
20170623,56.75
20170627,59.7
20170628,62.33
20170629,64.71
20170630,64.95
20170703,64.29
20170704,63.23
20170705,63.28
20170706,61.96
20170707,62.8
20170710,64.05
