Date,Price
20160901,2450000
20161001,2450000
20161101,2450000
20161201,2900000
20170101,3200000
20170201,3200000
20170301,3000000
20170401,2800000
20170501,2650000
20170601,2450000
20170701,2450000
20170801,2450000
20170901,2450000
20171001,2450000
20171101,2600000
20171201,2600000
20180101,2600000
20180201,2600000
20180301,2600000
20180401,2600000
20180501,2600000
20180601,2750000
20180701,2750000
20180801,2750000
20180901,2750000
20181001,2750000
20181101,2750000
20181201,2750000
20190101,2450000
20190201,2450000
20190301,2650000
20190401,2650000
20190501,2650000
20190601,2650000
20190701,2650000
20190801,2650000
20190901,2900000
20191001,2900000
20191101,2900000
20191201,2900000
20200101,2900000
20200201,2900000
20200301,2900000
20200401,2900000
20200501,2900000
20200601,2900000
20200701,2900000
20200801,2900000
20200901,3000000
20201001,3000000
20201101,3000000
20201201,3000000
20210101,3000000
20210201,3100000
20210301,3100000
20210401,3100000
20210501,3100000
20210601,3200000
20210701,3400000
20210801,3470000
20210901,3600000
20211001,3700000
20211101,3800000
20211201,3800000
20220101,4000000
20220201,4000000
20220301,4300000
20220401,4700000
20220501,4700000
20220601,4700000
20220701,4600000
20220801,4300000
20220901,4000000
20221001,4450000
20221101,4300000
20221201,4300000
20230101,4300000
20230201,4300000
20230301,4300000
20230401,4000000
20230501,4000000
20230601,4000000
20230701,3600000
20230801,3600000
20230901,3500000
20231001,3500000
20231101,3500000
20231201,3400000
20240101,3400000
20240201,3350000
20240301,3350000
20240401,3350000
20240501,3450000
20240601,3600000
20240701,3750000
20240801,3750000
20240901,3700000
20241001,3650000
20241101,3650000
20241201,3650000
20250101,3750000
20250201,3800000
20250301,3800000
20250401,3750000
20250501,3750000
20250601,3700000
20250701,3650000
20250801,3600000
20250901,3700000
20251001,3700000
20251101,3700000
20251201,3700000
20260101,3700000
20260201,3900000
20260301,3900000
20260401,4100000
20260501,4310000
20260601,4500000
20260701,4500000
20260801,4500000
