Date,Price
20160902,1065
20160905,1065
20160906,1065
20160907,1065
20160908,1065
20160909,1065
20160912,1065
20160913,1065
20160914,1065
20160918,1065
20160919,1065
20160920,1065
20160921,1065
20160922,1065
20160923,1065
20160926,1065
20160927,1065
20160928,1065
20160929,1065
20160930,1065
20161009,1065
20161010,1065
20161011,1065
20161012,1065
20161014,1075
20161017,1075
20161018,1075
20161019,1075
20161020,1075
20161021,1075
20161024,1075
20161025,1075
20161026,1095
20161027,1105
20161028,1105
20161031,1105
20161101,1105
20161102,1105
20161103,1135
20161104,1155
20161107,1185
20161108,1195
20161109,1195
20161111,1195
20161114,1195
20161115,1195
20161116,1195
20161117,1195
20161118,1225
20161121,1225
20161122,1225
20161123,1235
20161124,1235
20161128,1235
20161129,1235
20161130,1235
20161201,1235
20161202,1235
20161205,1225
20161206,1225
20161207,1225
20161208,1225
20161209,1225
20161212,1215
20161213,1215
20161214,1215
20161215,1215
20161216,1215
20161219,1215
20161220,1215
20161221,1215
20161222,1215
20161223,1215
20161226,1215
20161227,1195
20161228,1195
20161229,1195
20161230,1195
20170103,1195
20170105,1195
20170106,1175
20170109,1175
20170110,1175
20170111,1175
20170112,1175
20170113,1165
20170116,1135
20170117,1135
20170118,1135
20170119,1135
20170120,1135
20170122,1115
20170123,1115
20170124,1115
20170125,1115
20170206,1095
20170207,1095
20170208,1095
20170209,1075
20170210,1075
20170213,1075
20170214,1055
20170215,1055
20170216,1055
20170217,1055
20170220,1055
20170221,1035
20170222,1035
20170223,1035
20170224,1035
20170227,1035
20170228,1035
20170301,1035
20170302,1035
20170303,1035
20170306,1035
20170307,1035
20170308,1035
20170309,1045
20170310,1045
20170313,1045
20170314,1085
20170315,1085
20170316,1085
20170317,1105
20170320,1105
20170321,1120
20170322,1155
20170323,1155
20170324,1155
20170327,1155
20170328,1155
20170329,1155
20170331,1145
20170405,1145
20170406,1145
20170407,1145
20170410,1135
20170412,1135
20170413,1135
20170414,1135
20170417,1135
20170418,1125
20170419,1125
20170420,1125
20170421,1125
20170424,1125
20170425,1125
20170426,1125
20170427,1125
20170428,1125
20170503,1125
20170504,1125
20170505,1125
20170508,1125
20170509,1125
20170510,1125
20170512,1115
20170516,1115
20170517,1115
20170518,1115
20170519,1115
20170522,1115
20170523,1115
20170524,1115
20170525,1115
20170526,1115
20170531,1115
20170601,1125
20170602,1125
20170605,1125
20170606,1125
20170607,1125
20170608,1125
20170609,1125
20170612,1125
20170614,1125
20170615,1130
20170616,1130
20170619,1130
20170621,1130
20170622,1130
20170623,1130
20170626,1130
20170627,1130
20170628,1130
20170629,1130
20170630,1130
20170703,1130
20170704,1130
20170705,1130
20170706,1130
20170707,1130
20170710,1130
20170712,1130
20170713,1145
20170714,1165
20170717,1165
20170718,1165
20170719,1165
20170721,1185
20170724,1185
20170725,1185
20170726,1215
20170727,1215
20170728,1215
20170731,1215
20170801,1215
20170802,1215
20170803,1235
20170804,1235
20170807,1265
20170808,1265
20170809,1275
20170810,1275
20170811,1305
20170814,1315
20170815,1315
20170817,1325
20170818,1335
20170821,1535
20170822,1555
20170823,1575
20170824,1625
20170825,1625
20170828,1625
20170829,1625
20170830,1625
20170831,1625
20170904,1535
20170905,1525
20170906,1525
20170907,1525
20170908,1505
20170911,1495
20170912,1495
20170913,1495
20170914,1465
20170915,1465
20170918,1455
20170919,1455
20170920,1445
20170921,1435
20170922,1405
20170925,1385
20170926,1355
20170927,1345
20170928,1335
20170929,1325
20171009,1315
20171010,1305
20171011,1295
20171012,1285
20171013,1285
20171016,1285
20171017,1285
20171018,1285
20171019,1285
20171020,1285
20171023,1285
20171024,1285
20171025,1285
20171026,1285
20171027,1285
20171030,1305
20171031,1320
20171101,1330
20171102,1345
20171106,1355
20171107,1355
20171108,1355
20171109,1355
20171110,1355
20171113,1355
20171114,1355
20171115,1355
20171116,1355
20171117,1365
20171120,1375
20171121,1375
20171122,1385
20171123,1385
20171124,1405
20171127,1405
20171128,1405
20171129,1405
20171130,1405
20171201,1415
20171204,1435
20171205,1455
20171206,1475
20171207,1515
20171208,1535
20171211,1575
20171212,1615
20171213,1655
20171214,1655
20171215,1655
20171218,1655
20171219,1635
20171220,1615
20171221,1615
20171222,1625
20171225,1645
20171226,1645
20171227,1645
20171228,1645
20171229,1645
20180102,1615
20180103,1595
20180104,1575
20180105,1575
20180108,1575
20180109,1575
20180110,1545
20180111,1515
20180112,1515
20180115,1505
20180116,1475
20180117,1475
20180118,1475
20180119,1515
20180122,1515
20180123,1545
20180124,1595
20180125,1595
20180126,1595
20180129,1595
20180130,1595
20180131,1605
20180201,1605
20180202,1605
20180205,1605
20180206,1605
20180207,1605
20180208,1605
20180209,1605
20180222,1605
20180223,1605
20180226,1565
20180227,1545
20180228,1525
20180301,1515
20180302,1515
20180305,1495
20180306,1485
20180307,1475
20180308,1475
20180309,1465
20180312,1465
20180313,1465
20180314,1465
20180315,1465
20180316,1465
20180319,1465
20180320,1465
20180321,1465
20180322,1465
20180323,1435
20180326,1435
20180327,1435
20180328,1425
20180329,1415
20180330,1405
20180402,1405
20180403,1395
20180404,1395
20180408,1385
20180409,1385
20180410,1375
20180411,1375
20180412,1375
20180413,1375
20180416,1375
20180417,1375
20180418,1375
20180419,1385
20180420,1385
20180423,1385
20180424,1385
20180425,1385
20180426,1385
20180427,1365
20180502,1365
20180503,1365
20180504,1365
20180507,1365
20180508,1365
20180509,1365
20180510,1365
20180511,1365
20180514,1365
20180515,1395
20180516,1395
20180517,1425
20180518,1425
20180521,1425
20180522,1425
20180523,1425
20180524,1425
20180525,1425
20180528,1425
20180529,1425
20180530,1425
20180531,1425
20180601,1425
20180604,1425
20180605,1425
20180606,1425
20180607,1415
20180608,1415
20180611,1415
20180612,1415
20180613,1415
20180614,1415
20180615,1415
20180619,1415
20180620,1415
20180621,1395
20180622,1395
20180625,1395
20180626,1395
20180627,1415
20180628,1415
20180629,1415
20180702,1415
20180703,1415
20180704,1415
20180705,1395
20180706,1395
20180709,1395
20180710,1395
20180711,1395
20180712,1395
20180713,1385
20180716,1375
20180717,1355
20180718,1355
20180719,1355
20180720,1355
20180723,1355
20180724,1355
20180725,1355
20180726,1355
20180727,1355
20180730,1355
20180731,1355
20180801,1355
20180802,1355
20180803,1355
20180806,1355
20180807,1375
20180808,1375
20180809,1375
20180810,1375
20180813,1365
20180814,1365
20180815,1355
20180816,1355
20180817,1355
20180820,1355
20180821,1355
20180822,1335
20180823,1335
20180824,1335
20180827,1335
20180828,1335
20180829,1315
20180830,1315
20180831,1315
20180903,1315
20180904,1315
20180905,1315
20180906,1315
20180907,1305
20180910,1305
20180911,1305
20180912,1295
20180913,1295
20180914,1305
20180917,1305
20180918,1305
20180919,1305
20180920,1315
20180921,1315
20180925,1315
20180926,1315
20180927,1315
20180928,1315
20181008,1315
20181009,1315
20181010,1315
20181011,1315
20181012,1315
20181015,1315
20181016,1295
20181017,1295
20181018,1295
20181019,1295
20181022,1295
20181023,1305
20181024,1305
20181025,1305
20181026,1285
20181029,1285
20181030,1285
20181031,1285
20181101,1285
20181102,1285
20181105,1285
20181106,1285
20181107,1285
20181108,1285
20181109,1285
20181112,1285
20181113,1285
20181114,1285
20181115,1275
20181116,1275
20181119,1275
20181120,1275
20181121,1275
20181122,1275
20181123,1275
20181126,1275
20181127,1275
20181128,1275
20181129,1275
20181130,1275
20181203,1275
20181204,1265
20181205,1265
20181206,1265
20181207,1265
20181210,1265
20181211,1265
20181212,1255
20181213,1255
20181214,1255
20181217,1255
20181218,1245
20181219,1245
20181220,1245
20181221,1245
20181224,1245
20181225,1245
20181226,1225
20181227,1225
20181228,1205
20190102,1205
20190103,1205
20190104,1205
20190107,1205
20190108,1185
20190109,1185
20190110,1185
20190111,1185
20190114,1185
20190115,1185
20190116,1205
20190117,1205
20190118,1205
20190121,1205
20190122,1205
20190123,1205
20190124,1205
20190125,1205
20190128,1205
20190129,1205
20190130,1175
20190131,1175
20190201,1175
20190211,1175
20190212,1175
20190213,1175
20190214,1175
20190215,1175
20190218,1175
20190219,1175
20190220,1175
20190221,1155
20190222,1155
20190225,1155
20190226,1155
20190227,1155
20190228,1155
20190301,1155
20190304,1155
20190305,1155
20190306,1165
20190307,1175
20190308,1175
20190311,1175
20190312,1195
20190313,1195
20190314,1225
20190315,1225
20190318,1225
20190319,1225
20190320,1225
20190321,1205
20190322,1205
20190325,1205
20190326,1205
20190327,1205
20190328,1205
20190329,1205
20190401,1195
20190402,1195
20190403,1185
20190404,1185
20190408,1185
20190409,1185
20190410,1175
20190411,1175
20190412,1175
20190415,1175
20190416,1175
20190417,1175
20190418,1175
20190419,1175
20190422,1175
20190423,1175
20190424,1175
20190425,1175
20190426,1175
20190428,1175
20190429,1175
20190430,1165
20190506,1165
20190507,1165
20190508,1155
20190509,1155
20190510,1155
20190513,1155
20190514,1145
20190515,1145
20190516,1145
20190517,1145
20190520,1135
20190521,1135
20190522,1135
20190523,1135
20190524,1135
20190527,1135
20190528,1135
20190529,1135
20190530,1135
20190531,1115
20190603,1115
20190604,1115
20190605,1115
20190606,1115
20190610,1115
20190611,1115
20190612,1115
20190613,1115
20190614,1115
20190617,1115
20190618,1115
20190619,1115
20190620,1145
20190621,1145
20190624,1145
20190625,1145
20190626,1145
20190627,1145
20190628,1155
20190701,1155
20190702,1155
20190703,1135
20190704,1135
20190705,1135
20190708,1135
20190709,1135
20190710,1135
20190711,1135
20190712,1165
20190715,1165
20190716,1195
20190717,1195
20190718,1195
