Date,Price
20160830,1878
20160831,1874
20160901,1865
20160902,1875
20160905,1946
20160906,1960
20160907,1992
20160908,1993
20160909,1941
20160912,1872
20160913,1916
20160914,1904
20160915,1896
20160916,1891
20160919,1912
20160920,1917
20160921,1943
20160922,1987.5
20160923,1982
20160926,1944
20160927,1942
20160928,1912
20160929,1901
20160930,1935
20161003,1918
20161004,1874
20161005,1780
20161006,1776
20161007,1733
20161010,1778
20161011,1748
20161012,1744
20161013,1759
20161014,1747
20161017,1740
20161018,1765
20161019,1769
20161020,1760
20161021,1751
20161024,1764
20161025,1773
20161026,1766
20161027,1766
20161028,1761
20161031,1776
20161101,1824
20161102,1854
20161103,1807
20161104,1830
20161107,1822
20161108,1826
20161109,1881
20161110,1875
20161111,1859
20161114,1719.5
20161115,1700
20161116,1695
20161117,1704
20161118,1651
20161121,1668
20161122,1676
20161123,1656
20161124,1631
20161125,1646.5
20161128,1668
20161129,1654
20161130,1667
20161201,1630
20161202,1635
20161205,1662
20161206,1679
20161207,1677
20161208,1713
20161209,1695
20161212,1686
20161213,1701
20161214,1711
20161215,1614
20161216,1605
20161219,1600
20161220,1580
20161221,1603
20161222,1577
20161223,1574
20161228,1585
20161229,1606
20161230,1624
20170103,1595
20170104,1642
20170105,1659
20170106,1645
20170109,1652
20170110,1666.5
20170111,1679
20170112,1691
20170113,1676
20170116,1682
20170117,1700
20170118,1712
20170119,1695
20170120,1689
20170123,1714
20170124,1710.5
20170125,1693
20170126,1686
20170127,1670
20170130,1710
20170131,1729
20170201,1760
20170202,1771
20170203,1728
20170206,1760
20170207,1760
20170208,1774
20170209,1771.5
20170210,1762
20170213,1797
20170214,1790.5
20170215,1788
20170216,1810
20170217,1800.5
20170220,1798
20170221,1789
20170222,1800
20170223,1800
20170224,1827
20170227,1834
20170228,1828
20170301,1833
20170302,1833
20170303,1766
20170306,1781
20170307,1770
20170308,1740
20170309,1714
20170310,1689
20170313,1702
20170314,1700
20170315,1691
20170316,1746
20170317,1740
20170320,1723
20170321,1731
20170322,1758
20170323,1755
20170324,1763
20170327,1794
20170328,1794
20170329,1813
20170330,1810
20170331,1806
20170403,1816
20170404,1834
20170405,1826
20170406,1822
20170407,1840
20170410,1794
20170411,1794
20170412,1831
20170413,1856
20170418,1842
20170419,1822
20170420,1819
20170421,1798
20170424,1781
20170425,1784
20170426,1759
20170427,1746
20170428,1741
20170502,1695
20170503,1685
20170504,1650
20170505,1627
20170508,1638
20170509,1622
20170510,1629
20170511,1637
20170512,1630
20170515,1659
20170516,1672
20170517,1690
20170518,1681
20170519,1677
20170522,1695
20170523,1714
20170524,1703
20170525,1715
20170526,1729
20170530,1727
20170531,1731
20170601,1713
20170602,1719
20170605,1752
20170606,1756
20170607,1760
20170608,1760
20170609,1735
20170612,1713
20170613,1682
20170614,1696
20170615,1686
20170616,1676
20170619,1667
20170620,1659
20170621,1651
20170622,1658
20170623,1671
20170626,1653
20170627,1666
20170628,1678
20170629,1683
20170630,1647
20170703,1648
20170704,1615
20170705,1595
20170706,1601
20170707,1584
20170710,1522
20170711,1551
20170712,1583
20170713,1595
20170714,1571
20170717,1607
20170718,1617
20170719,1623
20170720,1618
20170721,1643
20170724,1650
20170725,1631
20170726,1637
20170727,1679
20170728,1656
20170731,1676
20170801,1674
20170802,1667
20170803,1647
20170804,1670
20170807,1613
20170808,1639
20170809,1659
20170810,1708
20170811,1709
20170814,1697
20170815,1689
20170816,1668
20170817,1702
20170818,1715
20170821,1702
20170822,1702
20170823,1706
20170824,1693
20170825,1702
20170829,1760
20170830,1744
20170831,1734
20170901,1750
20170904,1780
20170905,1788
20170906,1777
20170907,1779
20170908,1821
20170911,1785
20170912,1775
20170913,1791
20170914,1775
20170915,1770
20170918,1753
20170919,1715
20170920,1738
20170921,1695
20170922,1697
20170925,1695
20170926,1701
20170927,1689
20170928,1682
20170929,1686
20171002,1658
20171003,1661
20171004,1682.5
20171005,1666
20171006,1662.5
20171009,1692
20171010,1712
20171011,1715
20171012,1719.5
20171013,1720
20171016,1741
20171017,1711
20171018,1695
20171019,1702.5
20171020,1707.5
20171023,1699.5
20171024,1703.5
20171025,1689
20171026,1697
20171027,1672
20171030,1673.5
20171031,1682
20171101,1694
20171102,1708
20171103,1708.5
20171106,1691.5
20171107,1700.5
20171108,1699.5
20171109,1710
20171110,1700
20171113,1692.5
20171114,1693.5
20171115,1711.5
20171116,1704
20171117,1708.5
20171120,1714.5
20171121,1700
20171122,1696.5
20171123,1709.5
20171124,1705
20171127,1710
20171128,1707
20171129,1689.5
20171130,1657
20171201,1642
20171204,1633
20171205,1628.5
20171206,1611.5
20171207,1591
20171208,1582.5
20171211,1583.5
20171212,1578
20171213,1570.5
20171214,1601
20171215,1598.5
20171218,1609
20171219,1615.5
20171220,1618.5
20171221,1614.5
20171222,1617.5
20171227,1650
20171228,1674
20171229,1686.5
20180102,1706
20180103,1712.5
20180104,1713
20180105,1715.5
20180108,1717
20180109,1705.5
20180110,1713.5
20180111,1701
20180112,1712
20180115,1732.5
20180116,1709.5
20180117,1721
20180118,1709
20180119,1704
20180122,1703.5
20180123,1698
20180124,1719
20180125,1752
20180126,1740
20180129,1733.5
20180130,1729.5
20180131,1723
20180201,1719
20180202,1713.5
20180205,1687.5
20180206,1680.5
20180207,1669
20180208,1634.5
20180209,1635.5
20180212,1642.5
20180213,1660.5
20180214,1658
20180215,1682.5
20180216,1683.5
20180219,1672
20180220,1657
20180221,1643.5
20180222,1646.5
20180223,1661
20180226,1667
20180227,1661
20180228,1644
20180301,1631.5
20180302,1644.5
20180305,1651
20180306,1662
20180307,1664.5
20180308,1648
20180309,1648.5
20180312,1645.5
20180313,1651
20180314,1660.5
20180315,1652
20180316,1647.5
20180319,1628.5
20180320,1625
20180321,1624.5
20180322,1652
20180323,1653
20180326,1661
20180327,1664
20180328,1645.5
20180329,1628
20180403,1652
20180404,1646
20180405,1630.5
20180406,1627.5
20180409,1634
20180410,1649
20180411,1656.5
20180412,1665.5
20180413,1650.5
20180416,1660
20180417,1662.5
20180418,1694.5
20180419,1719.5
20180420,1711
20180423,1693.5
20180424,1659.5
20180425,1656.5
20180426,1657.5
20180427,1653
20180430,1638
20180501,1625
20180502,1635
20180503,1646.5
20180504,1641.5
20180508,1644.5
20180509,1644
20180510,1660
20180511,1676
20180514,1664.5
20180515,1641
20180516,1625.5
20180517,1638.5
20180518,1639
20180521,1634
20180522,1658
20180523,1653
20180524,1651
20180525,1667
20180529,1647.5
20180530,1637
20180531,1655
20180601,1642
20180604,1644
20180605,1638.5
20180606,1654.5
20180607,1674.5
20180608,1672
20180611,1676
20180612,1685.5
20180613,1690.5
20180614,1712.5
20180615,1722.5
20180618,1660.5
20180619,1635.5
20180620,1628.5
20180621,1624.5
20180622,1642.5
20180625,1637.5
20180626,1622.5
20180627,1621
20180628,1611
20180629,1603
20180702,1598
20180703,1593
20180704,1604.5
20180705,1595
20180706,1599.5
20180709,1620.5
20180710,1593
