Date,Price
20171001,740
20171101,738
20171201,753
20180101,782
20180201,819
20180301,847
20180401,864
20180501,850
20180601,845
20180701,839
20180801,838
20180901,833
20181001,815
20181101,792
20181201,764
20190101,740
20190201,725
20190301,730
20190401,735
20190501,703
20190601,684
20190701,684
20190801,691
20190901,684
20191001,661
20191101,655
20191201,668
20200101,695
20200201,695
20200301,691
20200401,650
20200501,629
20200601,625
20200701,624
20200801,633
20200901,694
20201001,741
20201101,780
20201201,874
20210101,1022
20210201,1091
20210301,1156
20210401,1254
20210501,1424
20210601,1562
20210701,1594
20210801,1643
20210901,1658
20211001,1621
20211101,1552
20211201,1487
20220101,1435
20220201,1334
20220301,1402
20220401,1546
20220501,1424
20220601,1243
20220701,1124
20220801,1006
20220901,948
20221001,910
20221101,830
20221201,832
20230101,885
20230201,954
20230301,1055
20230401,1116
20230501,1043
20230601,917
20230701,902
20230801,871
20230901,833
20231001,815
20231101,881
20231201,938
20240101,994
20240201,967
20240301,912
20240401,908
20240501,871
20240601,856
20240701,812
20240801,802
20240901,805
20241001,794
20241101,780
20241201,760
20250101,745
20250201,765
20250301,846
20250401,872
20250501,851
20250601,836
20250701,826
20250801,812
20250901,800
20251001,800
20251101,819
20251201,844
20260101,871
20260201,891
20260301,914
20260401,928
20260501,961
20260601,967
20260701,963
20260801,1006
