Date,Price
20160905,680000
20160912,680000
20160919,680000
20160926,680000
20161003,680000
20161010,680000
20161017,680000
20161024,670000
20161031,670000
20161107,700000
20161114,670000
20161121,690000
20161128,720000
20161205,720000
20161212,720000
20161219,720000
20161226,720000
20170102,720000
20170109,760000
20170116,750000
20170123,730000
20170130,730000
20170206,720000
20170213,710000
20170220,730000
20170227,730000
20170306,730000
20170313,730000
20170320,710000
20170327,700000
20170403,750000
20170410,730000
20170417,730000
20170424,720000
20170501,690000
20170508,690000
20170515,670000
20170522,645000
20170529,645000
20170605,690000
20170612,690000
20170619,690000
20170626,690000
20170703,730000
20170710,730000
20170717,730000
20170724,690000
20170731,760000
20170807,760000
20170814,760000
20170821,760000
20170828,740000
20170904,790000
20170911,770000
20170918,770000
20170925,790000
20171002,770000
20171016,790000
20171023,780000
20171030,780000
20171106,780000
20171113,770000
20171120,770000
20171127,750000
20171204,740000
20171211,810000
20171218,780000
20171225,780000
20180101,760000
20180108,790000
20180115,760000
20180122,740000
20180129,730000
20180205,750000
20180212,800000
20180219,770000
20180226,770000
20180305,770000
20180312,740000
20180319,770000
20180326,770000
20180402,750000
20180409,760000
20180416,760000
20180423,740000
20180430,730000
20180507,730000
20180514,730000
20180521,730000
20180528,730000
20180604,760000
20180611,760000
20180618,810000
20180625,820000
20180702,820000
20180709,820000
20180716,820000
20180723,820000
20180730,820000
20180806,870000
20180813,870000
20180820,870000
20180827,870000
20180903,870000
20180910,870000
20180917,855000
20180924,860000
20181001,860000
20181008,860000
20181015,860000
20181022,860000
20181029,880000
20181105,880000
20181112,880000
20181119,880000
20181126,880000
20181203,880000
20181210,870000
20181217,865000
20181224,860000
20181231,860000
20190107,830000
20190114,820000
20190121,820000
20190128,820000
20190204,820000
20190211,820000
20190218,820000
20190225,820000
20190304,830000
20190311,830000
20190318,820000
20190325,800000
20190401,800000
20190408,800000
20190415,820000
20190422,820000
20190429,820000
20190506,825000
20190513,810000
20190520,800000
20190527,800000
20190603,800000
20190610,820000
20190617,820000
20190624,850000
20190701,850000
20190708,880000
20190715,860000
20190722,840000
20190729,840000
20190805,830000
20190812,810000
20190819,810000
20190826,810000
20190902,790000
20190909,780000
20190916,790000
20190923,780000
20190930,770000
20191007,760000
20191014,750000
20191021,740000
20191028,770000
20191104,770000
20191111,750000
20191118,730000
20191125,720000
20191202,710000
20191209,710000
20191216,700000
20191223,700000
20191230,690000
20200106,690000
20200113,700000
20200120,700000
20200127,730000
20200203,730000
20200210,760000
20200217,760000
20200224,800000
20200302,800000
20200309,795000
20200316,785000
20200323,790000
20200330,795000
20200406,795000
20200413,790000
20200420,790000
20200427,780000
20200504,770000
20200511,770000
20200518,770000
20200525,770000
20200601,760000
20200608,755000
20200615,750000
20200622,760000
20200629,760000
20200706,760000
20200713,750000
