Data,Price
20171001,631
20171101,629
20171201,647
20180101,677
20180201,719
20180301,762
20180401,781
20180501,767
20180601,767
20180701,766
20180801,761
20180901,749
20181001,729
20181101,707
20181201,680
20190101,659
20190201,648
20190301,652
20190401,654
20190501,625
20190601,596
20190701,594
20190801,596
20190901,584
20191001,551
20191101,540
20191201,558
20200101,591
20200201,585
20200301,591
20200401,545
20200501,524
20200601,523
20200701,517
20200801,531
20200901,591
20201001,638
20201101,671
20201201,766
20210101,924
20210201,968
20210301,1033
20210401,1129
20210501,1288
20210601,1417
20210701,1446
20210801,1479
20210901,1481
20211001,1427
20211101,1354
20211201,1281
20220101,1176
20220201,1046
20220301,1200
20220401,1345
20220501,1216
20220601,1026
20220701,881
20220801,813
20220901,787
20221001,765
20221101,684
20221201,697
20230101,773
20230201,841
20230301,961
20230401,1002
20230501,913
20230601,802
20230701,785
20230801,746
20230901,703
20231001,694
20231101,760
20231201,816
20240101,876
20240201,830
20240301,755
20240401,750
20240501,715
20240601,701
20240701,676
20240801,671
20240901,670
20241001,653
20241101,640
20241201,631
20250101,628
20250201,671
20250301,732
20250401,751
20250501,737
20250601,729
20250701,718
20250801,692
20250901,683
20251001,684
20251101,702
20251201,730
20260101,760
20260201,783
20260301,809
20260401,837
20260501,861
20260601,861
20260701,863
20260801,893
