date,price
20191113,15530
20191114,15355
20191115,14990
20191118,14760
20191119,14475
20191120,14310
20191121,14410
20191122,14400
20191125,14570
20191126,14370
20191127,14445
20191128,14070
20191129,13810
20191202,13625
20191203,13600
20191204,13250
20191205,13165
20191206,13420
20191209,13200
20191210,13070
20191211,13535
20191212,13810
20191213,14145
20191216,14085
20191217,14090
20191218,13850
20191219,14035
20191220,14220
20191223,14395
20191224,14290
20191227,14000
20191230,14225
20191231,14000
20200102,14075
20200103,13740
20200106,13795
20200107,13860
20200108,13810
20200109,14125
20200110,14050
20200113,14190
20200114,13680
20200115,13950
20200116,14290
20200117,13840
20200120,13845
20200121,13750
20200122,13645
20200123,13300
20200124,12990
20200127,12650
20200128,12740
20200129,12630
20200130,12535
20200131,12675
20200203,12750
20200204,12800
20200205,13005
20200206,13010
20200207,12770
20200210,12880
20200211,13100
20200212,13050
20200213,13065
20200214,13035
20200217,13070
20200218,12880
20200219,12700
20200220,12685
20200221,12440
20200224,12360
20200225,12540
20200226,12290
20200227,12280
20200228,12160
20200302,12440
20200303,12555
20200304,12700
20200305,12800
20200306,12710
20200309,12415
20200310,12835
20200311,12435
20200312,11855
20200313,12565
20200316,11775
20200317,11830
20200318,11420
20200319,11235
20200320,11370
20200323,11055
20200324,11075
20200325,11175
20200326,11221
20200327,11225
20200330,11280
20200331,11235
20200401,11220
20200402,11185
20200403,11192
20200406,11162
20200407,11350
20200408,11425
20200409,11457
20200414,11723
20200415,11712
20200416,11657
20200417,11887
20200420,12255
20200421,12085
20200422,11895
20200423,12010
20200424,12073
20200427,12256
20200428,12251
20200429,12135
20200430,12134
20200501,11853
20200504,11785
20200505,11805
20200506,12199
20200507,12247
20200511,12188
20200512,12275
20200513,12200
20200514,12084
20200515,11807
20200518,11950
20200519,12300
20200520,12335
20200521,12762
20200522,12124
20200526,12260
20200527,12144
20200528,12133
20200529,12120
20200601,12418
20200602,12680
20200603,12812
20200604,12608
20200605,12785
20200608,12943
20200609,12804
20200610,12881
20200611,12615
20200612,12733
20200615,12503
20200616,12930
20200617,12900
20200618,12760
20200619,12855
20200622,12625
20200623,12541
20200624,12510
20200625,12386
20200626,12709
20200629,12684
20200630,12790
20200701,12555
20200702,12823
20200703,13040
20200706,13242
20200707,13231
20200708,13415
20200709,13425
20200710,13070
20200713,13482
20200714,13518
20200715,13512
20200716,13253
20200717,13281
20200720,13162
20200721,13315
20200722,13215
20200723,13460
20200724,13430
20200727,13718
20200728,13470
20200729,13762
20200730,13716
20200731,13756
20200803,13683
20200804,13888
20200805,14250
20200806,14381
20200807,14335
20200810,14146
20200811,14153
20200812,14167
20200813,14106
20200814,14235
20200817,14548
20200818,14602
20200819,14705
20200820,14666
20200821,14562
20200824,14862
20200825,14880
20200826,15034
20200827,15120
20200828,15414
20200901,15660
20200902,15658
20200903,15135
20200904,15210
20200907,15185
20200908,15090
20200909,14821
20200910,14748
20200911,14935
20200914,15090
20200915,15218
20200916,15160
20200917,14895
20200918,14908
20200921,14691
20200922,14554
20200923,14365
20200924,14179
20200925,14285
20200928,14416
20200929,14470
20200930,14385
20201001,14430
20201002,14271
20201005,14360
20201006,14643
20201007,14570
20201008,14687
20201009,14990
20201012,15217
20201013,15147
20201014,15105
20201015,15353
20201016,15603
20201019,15653
20201020,15791
20201021,16064
20201022,15707
20201023,15768
20201026,15397
20201027,15602
20201028,15819
20201029,15393
20201030,15256
20201102,15113
20201103,15365
20201104,15391
20201105,15450
20201106,15532
20201109,15862
20201110,15700
20201111,15807
20201112,15874
20201113,15815
20201116,16030
20201117,15703
20201118,15745
20201119,15690
20201120,15870
20201123,16017
20201124,16007
20201125,15975
20201126,16055
20201127,16373
20201130,16343
20201201,16102
20201202,15850
20201203,15937
20201204,16020
20201207,16290
20201208,16390
20201209,16475
20201210,16807
20201211,17192
20201214,17594
20201215,17650
20201216,17355
20201217,17520
20201218,17551
20201221,17342
20201222,16913
20201223,16691
20201224,16951
20201229,17003
20201230,16775
20201231,16540
20210104,17344
20210105,17517
20210106,17796
20210107,17929
20210108,17890
20210111,17164
20210112,17665
20210113,17675
20210114,17951
20210115,17970
20210118,18056
20210119,18075
20210120,18055
20210121,18370
20210122,17906
20210125,18240
20210126,18142
20210127,17818
20210128,17662
20210129,17727
20210201,17807
20210202,17756
20210203,17623
20210204,17535
20210205,17954
20210208,18067
20210209,18338
20210210,18484
20210211,18599
