Date,Price
20160901,220000
20161001,210000
20161101,205000
20161201,250000
20170101,280000
20170201,260000
20170301,270000
20170401,270000
20170501,260000
20170601,245000
20170701,255000
20170801,285000
20170901,320000
20171001,330000
20171101,310000
20171201,340000
20180101,360000
20180201,350000
20180301,350000
20180401,350000
20180501,320000
20180601,340000
20180701,355000
20180801,380000
20180901,390000
20181001,390000
20181101,380000
20181201,350000
20190101,360000
20190201,350000
20190301,360000
20190401,380000
20190501,350000
20190601,360000
20190701,335000
20190801,335000
20190901,335000
20191001,295000
20191101,250000
20191201,260000
20200101,280000
20200201,260000
20200301,250000
20200401,240000
20200501,260000
20200601,290000
20200701,270000
20200801,260000
20200901,290000
20201001,300000
20201101,305000
20201201,315000
20210101,420000
20210201,375000
20210301,420000
20210401,440000
20210501,470000
20210601,520000
20210701,560000
20210801,600000
20210901,625000
20211001,635000
20211101,660000
20211201,650000
20220101,655000
20220201,680000
20220301,700000
20220401,735000
20220501,715000
20220601,645000
20220701,520000
20220801,460000
20220901,460000
20221001,530000
20221101,520000
20221201,450000
20230101,515000
20230201,525000
20230301,520000
20230401,490000
20230501,480000
20230601,480000
20230701,460000
20230801,460000
20230901,460000
20231001,460000
20231101,440000
20231201,430000
20240101,450000
20240201,470000
20240301,460000
20240401,440000
20240501,440000
20240601,440000
20240701,430000
20240801,425000
20240901,420000
20241001,415000
20241101,395000
20241201,365000
20250101,365000
20250201,375000
20250301,385000
20250401,370000
20250501,370000
20250601,395000
20250701,385000
20250801,385000
20250901,395000
20251001,375000
20251101,375000
20251201,370000
20260101,375000
20260201,385000
20260301,385000
20260401,385000
20260501,395000
20260601,415000
20260701,415000
20260801,405000
