Date,Price
20160902,126000
20160905,126000
20160906,125000
20160907,125000
20160908,124000
20160909,124000
20160912,123000
20160913,123000
20160914,123000
20160918,123000
20160919,122500
20160920,122000
20160921,122000
20160922,122000
20160923,122000
20160926,122000
20160927,122000
20160928,122000
20160929,122000
20160930,122000
20161009,122000
20161010,123000
20161011,124000
20161012,125000
20161013,127000
20161014,127000
20161017,127000
20161018,128000
20161019,128000
20161020,128000
20161021,128000
20161024,129000
20161025,129000
20161026,129500
20161027,130000
20161028,130000
20161031,130000
20161101,130000
20161102,130000
20161103,130000
20161104,130000
20161107,130000
20161108,129500
20161109,129000
20161110,129000
20161111,129000
20161114,128000
20161115,127000
20161116,127000
20161117,127000
20161118,127000
20161121,126000
20161122,125500
20161123,125000
20161124,125000
20161125,125000
20161128,124500
20161129,124000
20161130,124000
20161201,123500
20161202,123000
20161205,123000
20161206,123500
20161207,124000
20161208,124000
20161209,124000
20161212,125000
20161213,126000
20161214,126500
20161215,127000
20161216,127000
20161219,127000
20161220,127000
20161221,127500
20161222,128000
20161223,128000
20161226,128000
20161227,128000
20161228,128000
20161229,128000
20161230,128000
20170103,128000
20170104,128000
20170105,128000
20170106,128000
20170109,128000
20170110,128000
20170111,128000
20170112,128000
20170113,128000
20170116,128000
20170117,128000
20170118,128000
20170119,128000
20170120,128000
20170122,128000
20170123,128000
20170124,128000
20170125,128000
20170206,128000
20170207,128500
20170208,129000
20170209,129000
20170210,129000
20170213,129000
20170214,129500
20170215,130000
20170216,130000
20170217,131000
20170220,132000
20170221,133000
20170222,135000
20170223,137000
20170224,138000
20170227,139000
20170228,140000
20170301,141000
20170302,141000
20170303,141000
20170306,141000
20170307,140000
20170308,139000
20170309,138000
20170310,137000
20170313,137000
20170314,136000
20170315,135000
20170316,134500
20170317,134000
20170320,134000
20170321,133500
20170322,133500
20170323,133500
20170324,133500
20170327,133500
20170328,134000
20170329,135000
20170330,135500
20170331,136500
20170405,138000
20170406,138500
20170407,139500
20170410,140000
20170411,140000
20170412,140000
20170413,140000
20170414,140000
20170417,140000
20170418,140000
20170419,140000
20170420,140500
20170421,140500
20170424,140500
20170425,141500
