date,price
20160830,2318
20160831,2327.5
20160901,2330
20160902,2348.5
20160905,2363.5
20160906,2335.5
20160907,2334
20160908,2300
20160909,2290.5
20160912,2250
20160913,2260
20160914,2232
20160915,2246
20160916,2203
20160919,2215.5
20160920,2274
20160921,2278.5
20160922,2294.5
20160923,2271.5
20160926,2248.5
20160927,2321
20160928,2313
20160929,2354
20160930,2378
20161003,2369.5
20161004,2404
20161005,2371
20161006,2327.5
20161007,2325.5
20161010,2323.5
20161011,2265.5
20161012,2260
20161013,2230
20161014,2232.5
20161017,2260.5
20161018,2295.5
20161019,2270
20161020,2281
20161021,2249
20161024,2291
20161025,2358
20161026,2339.5
20161027,2351
20161028,2374
20161031,2418.5
20161101,2444
20161102,2423
20161103,2441
20161104,2441
20161107,2454
20161108,2443.5
20161109,2452
20161110,2531.5
20161111,2528.5
20161114,2539
20161115,2552
20161116,2556
20161117,2494
20161118,2535
20161121,2565
20161122,2600
20161123,2572
20161124,2693
20161125,2767
20161128,2907
20161129,2867
20161130,2709
20161201,2740
20161202,2663
20161205,2705.5
20161206,2730.5
20161207,2821.5
20161208,2744.5
20161209,2709.5
20161212,2704
20161213,2735.5
20161214,2736.5
20161215,2760.5
20161216,2725
20161219,2632
20161220,2615
20161221,2604.5
20161222,2555
20161223,2587
20161228,2561.5
20161229,2540
20161230,2563
20170103,2552.5
20170104,2530
20170105,2608.5
20170106,2578.5
20170109,2611
20170110,2733
20170111,2690
20170112,2725
20170113,2720
20170116,2765.5
20170117,2694
20170118,2724
20170119,2758.5
20170120,2736.5
20170123,2782
20170124,2797
20170125,2774
20170126,2814.5
20170127,2762
20170130,2768.5
20170131,2848
20170201,2848
20170202,2851.5
20170203,2783
20170206,2764.5
20170207,2774.5
20170208,2825.5
20170209,2864
20170210,2906
20170213,2971
20170214,2934
20170215,2890
20170216,2836
20170217,2825.5
20170220,2860.5
20170221,2885
20170222,2860
20170223,2841
20170224,2822
20170227,2813.5
20170228,2813
20170301,2872
20170302,2845
20170303,2796
20170306,2729.5
20170307,2702
20170308,2701
20170309,2655.5
20170310,2697.5
20170313,2745
20170314,2697
20170315,2752
20170316,2836
20170317,2847
20170320,2860.5
20170321,2857.5
20170322,2817.5
20170323,2816
20170324,2804.5
20170327,2759
20170328,2765
20170329,2809
20170330,2833
20170331,2782.5
20170403,2746
20170404,2704
20170405,2770
20170406,2777
20170407,2665
20170410,2658.5
20170411,2580
20170412,2565
20170413,2561.5
20170418,2581
20170419,2546
20170420,2605
20170421,2582
20170424,2600
20170425,2590
20170426,2610.5
20170427,2614
20170428,2639
20170502,2639.5
20170503,2600
20170504,2570
20170505,2577
20170508,2579
20170509,2632
20170510,2592
20170511,2615
20170512,2582
20170515,2568.5
20170516,2517
20170517,2561
20170518,2462
20170519,2569
20170522,2631
20170523,2647
20170524,2627
20170525,2607.5
20170526,2622.5
20170530,2624
20170531,2572
20170601,2544.5
20170602,2507
20170605,2474.5
20170606,2480
20170607,2434.5
20170608,2462.5
20170609,2480
20170612,2496
20170613,2436
20170614,2472
20170615,2495
20170616,2516
20170619,2535
20170620,2561
20170621,2579.5
20170622,2697
20170623,2725
20170626,2722
20170627,2726
20170628,2732.5
20170629,2752.5
20170630,2754
20170703,2780
20170704,2766
20170705,2767
20170706,2785
20170707,2778
20170710,2775
20170711,2771.5
20170712,2843
20170713,2826
20170714,2769
20170717,2819.5
20170718,2769
20170719,2761
20170720,2737
20170721,2758
20170724,2776
20170725,2824.5
20170726,2805
20170727,2808.5
20170728,2766
20170731,2802
20170801,2769.5
20170802,2754
20170803,2804
20170804,2798
20170807,2816.5
20170808,2873
20170809,2947
