Date,Price
20160901,210000
20161001,200000
20161101,195000
20161201,240000
20170101,270000
20170201,250000
20170301,260000
20170401,260000
20170501,250000
20170601,235000
20170701,245000
20170801,275000
20170901,305000
20171001,315000
20171101,290000
20171201,320000
20180101,340000
20180201,330000
20180301,330000
20180401,330000
20180501,300000
20180601,320000
20180701,335000
20180801,350000
20180901,360000
20181001,360000
20181101,350000
20181201,320000
20190101,330000
20190201,320000
20190301,330000
20190401,350000
20190501,320000
20190601,330000
20190701,305000
20190801,305000
20190901,305000
20191001,265000
20191101,225000
20191201,240000
20200101,260000
20200201,240000
20200301,230000
20200401,220000
20200501,240000
20200601,270000
20200701,250000
20200801,240000
20200901,270000
20201001,290000
20201101,295000
20201201,305000
20210101,400000
20210201,360000
20210301,410000
20210401,420000
20210501,440000
20210601,470000
20210701,520000
20210801,560000
20210901,545000
20211001,555000
20211101,600000
20211201,575000
20220101,575000
20220201,610000
20220301,640000
20220401,680000
20220501,665000
20220601,610000
20220701,480000
20220801,420000
20220901,420000
20221001,490000
20221101,480000
20221201,410000
20230101,475000
20230201,485000
20230301,485000
20230401,455000
20230501,445000
20230601,445000
20230701,425000
20230801,425000
20230901,425000
20231001,425000
20231101,405000
20231201,395000
20240101,415000
20240201,435000
20240301,425000
20240401,405000
20240501,405000
20240601,405000
20240701,395000
20240801,375000
20240901,375000
20241001,370000
20241101,350000
20241201,320000
20250101,320000
20250201,330000
20250301,340000
20250401,325000
20250501,325000
20250601,345000
20250701,335000
20250801,335000
20250901,345000
20251001,320000
20251101,320000
20251201,315000
20260101,325000
20260201,335000
20260301,335000
20260401,335000
20260501,345000
20260601,365000
20260701,365000
20260801,355000
